"","X9","X12","Mont","Name_fish","Area","Fresh_ecor","Mont_temperaturamean","Mont_precmean","topografiaCV"
"P1211",69,691,"691a","P1211",1.476,"Up_Parana",22.73333263,1206.5,3.180159341
"P1218",69,693,"693a","P1218",1.064,"Up_Parana",22.56458378,1180.5,3.110101959
"P1219",69,692,"692a","P1219",33.115,"Up_Parana",22.66656494,1189.804878,5.535470449
"P1221",73,732,"732a","P1221",0.542,"Up_Parana",23.03244042,1178.462594,3.192830104
"P1222",73,731,"731a","P1222",0.729,"Up_Parana",23.06952253,1172.620916,2.794479446
"P1228",71,711,"711a","P1228",2.324,"Up_Parana",22.67708397,1203.5,3.140457914
"P1230",71,712,"712a","P1230",27.298,"Up_Parana",22.46768013,1180.162162,3.325619861
"P1233",71,712,"712b","P1233",3.498,"Up_Parana",22.55749969,1181,3.427376162
"P1242",74,741,"741a","P1242",9.086,"Up_Parana",23.17166653,1169,4.859067743
"P1243",74,742,"742a","P1243",51.664,"Up_Parana",23.02512631,1177.363636,5.127550928
"P1244",74,743,"743a","P1244",13.498,"Up_Parana",23.25145826,1176,4.728825702
"P1249",75,753,"753a","P1249",2.531,"Up_Parana",23.26875019,1263,3.250821307
"P1250",74,744,"744a","P1250",4.76,"Up_Parana",23.19097201,1223.166667,3.398237812
"P1251",75,751,"751a","P1251",11.013,"Up_Parana",23.08012816,1243.769231,4.358154798
"P1252",75,752,"752b","P1252",5.392,"Up_Parana",23.27083342,1224.142857,4.565155241
"P1256",75,752,"752a","P1256",0.582,"Up_Parana",23.10198998,1227.345204,1.858135808
"P1257",75,753,"753b","P1257",2.329,"Up_Parana",23.06874943,1249.5,2.408059961
"P1258",75,754,"754a","P1258",24.934,"Up_Parana",23.03791663,1246.3,3.952431323
"P1261",65,651,"651a","P1261",4.562,"Up_Parana",22.50763893,1251.166667,2.648838526
"P1262",65,651,"651b","P1262",2.351,"Up_Parana",22.88055547,1262.333333,2.620784422
"P1263",65,652,"652a","P1263",8.245,"Up_Parana",22.55555577,1250.333333,4.129194093
"P1264",63,632,"632a","P1264",3.541,"Up_Parana",22.72999992,1264,3.082543182
"P1265",63,631,"631a","P1265",4.54,"Up_Parana",22.80166626,1280.6,2.987079049
"P1271",63,633,"633a","P1271",4.181,"Up_Parana",22.41736094,1245.5,2.769213387
"P1289",23,233,"233a","P1289",4.092,"Up_Parana",19.71805541,1360.5,3.542098937
"P1292",23,233,"233b","P1292",1.875,"Up_Parana",19.46250057,1368.5,8.683622867
"P1294",23,232,"232a","P1294",11.803,"Up_Parana",20.22619029,1321.5,5.132803368
"P1295",23,233,"233c","P1295",1.182,"Up_Parana",19.98259088,1339.230843,4.592710952
"P1297",23,232,"232c","P1297",2.169,"Up_Parana",19.69027774,1347,11.02110773
"P1298",23,232,"232b","P1298",1.416,"Up_Parana",20.13720122,1321.846013,7.552652761
"P1299",23,233,"233d","P1299",12.019,"Up_Parana",19.69609368,1351.75,5.167414728
"P1303",22,222,"222c","P1303",3.861,"Up_Parana",19.99749985,1334.2,9.980052047
"P1304",22,222,"222b","P1304",4.777,"Up_Parana",19.95416673,1335.5,8.458379493
"P1307",22,222,"222d","P1307",0.658,"Up_Parana",20.41198488,1319.373184,3.013509191
"P1311",22,221,"221b","P1311",2.084,"Up_Parana",19.99305534,1333,3.707241615
"P1312",22,221,"221a","P1312",1.34,"Up_Parana",19.91307777,1334.669255,6.246262631
"P1313",22,221,"221d","P1313",3.328,"Up_Parana",18.91354179,1357.5,5.718055406
"P1314",22,221,"221e","P1314",1.601,"Up_Parana",18.91250038,1362,5.848704326
"P1317",22,221,"221c","P1317",12.011,"Up_Parana",19.70178591,1349.428571,5.3859918
"P1319",22,221,"221l","P1319",1.751,"Up_Parana",19.29583359,1345,15.28188796
"P1320",22,221,"221h","P1320",0.823,"Up_Parana",18.54324165,1362.751622,1.944048627
"P1321",22,221,"221i","P1321",9.627,"Up_Parana",18.36698693,1367.846154,3.590546841
"P1322",22,221,"221f","P1322",1.231,"Up_Parana",18.46069607,1368.394034,3.288882114
"P1323",22,221,"221g","P1323",0.124,"Up_Parana",18.48938631,1365.04974,1.275016575
"P1324",22,222,"222a","P1324",0.551,"Up_Parana",19.8032284,1340.223118,6.164326272
"P1325",22,221,"221k","P1325",6.028,"Up_Parana",18.67380932,1357.857143,8.926212693
"P1326",22,221,"221j","P1326",10.766,"Up_Parana",18.60763884,1360.25,7.992646066
"P1343",23,232,"232g","P1343",2.124,"Up_Parana",20.45208359,1308,5.052060466
"P1346",23,231,"231a","P1346",1.293,"Up_Parana",20.34166622,1312.5,4.382090223
"P1347",23,231,"231b","P1347",1.513,"Up_Parana",20.54439702,1302.98507,3.834370249
"P1348",23,232,"232f","P1348",2.44,"Up_Parana",20.23472214,1321.666667,4.833727042
"P1349",23,232,"232h","P1349",1.175,"Up_Parana",20.53749943,1311.5,6.639198301
"P1350",23,232,"232i","P1350",0.544,"Up_Parana",20.6965731,1310.433934,3.569189149
"P1351",23,232,"232d","P1351",4.827,"Up_Parana",19.42202377,1361.428571,12.75461456
"P1352",23,232,"232e","P1352",3.184,"Up_Parana",20.05249977,1332.4,13.99940045
"P3224",110,1101,"1101a","P3224",10.771,"Madeira",25.54999997,1937.769231,7.255591931
"P3225",110,1102,"1102a","P3225",9.609,"Madeira",25.57857146,1942.714286,9.544387901
"P3237",109,1092,"1092e","P3237",3.93,"Madeira",24.56145811,1919,5.347005748
"P3238",109,1092,"1092d","P3238",2.113,"Madeira",24.50416692,1926,3.879056569
"P3239",109,1092,"1092b","P3239",6.321,"Madeira",24.46547617,1923,6.11953811
"P3240",109,1092,"1092a","P3240",15.237,"Madeira",24.30479155,1926.55,10.90594015
"P3241",109,1092,"1092c","P3241",26.04,"Madeira",24.40669193,1905.030303,4.704746335
"P3242",109,1091,"1091a","P3242",15.671,"Madeira",24.59583349,1916.25,5.912753498
"P3245",109,1091,"1091b","P3245",18.871,"Madeira",24.51319464,1908.291667,4.849425411
"P3246",108,1082,"1082b","P3246",1.941,"Tapaj_Juru",24.73749987,1942.333333,4.924614542
"P3247",108,1083,"1083a","P3247",6.422,"Tapaj_Juru",24.68981467,1941.888889,5.00304301
"P3248",108,1082,"1082a","P3248",2.811,"Tapaj_Juru",24.66111056,1941,4.441326795
"P3249",108,1081,"1081a","P3249",8.813,"Tapaj_Juru",24.84280309,1951.181818,4.759914774
